BDM编码,岗位编码,ExternalId
20259,ZJ131011013,ZJ131011013ZJ131011013
20520,ZJ131011013,ZJ131011013ZJ131011013
20280,ZJ131011014,ZJ131011014ZJ131011014
21081,ZJ131011014,ZJ131011014ZJ131011014
20017,ZJ131011014,ZJ131011014ZJ131011014
20290,ZJ131011014,ZJ131011014ZJ131011014
20284,ZJ131011015,ZJ131011015ZJ131011015
20278,ZJ131011015,ZJ131011015ZJ131011015
19990,ZJ131011015,ZJ131011015ZJ131011015
19987,ZJ131011015,ZJ131011015ZJ131011015
20268,ZJ131011016,ZJ131011016ZJ131011016
20288,ZJ131011017,ZJ131011017ZJ131011017
20476,ZJ131011016,ZJ131011016ZJ131011016
20264,ZJ131011016,ZJ131011016ZJ131011016
20248,ZJ131011017,ZJ131011017ZJ131011017
20274,ZJ131011016,ZJ131011016ZJ131011016
22571,ZJ131011017,ZJ131011017ZJ131011017
20598,ZJ131011017,ZJ131011017ZJ131011017
20357,ZJ131011018,ZJ131011018ZJ131011018
20606,ZJ131011018,ZJ131011018ZJ131011018
20350,ZJ131011018,ZJ131011018ZJ131011018
20362,ZJ131011018,ZJ131011018ZJ131011018
20348,ZJ131011018,ZJ131011018ZJ131011018
20370,ZJ131011018,ZJ131011018ZJ131011018
20173,ZJ131011019,ZJ131011019ZJ131011019
20171,ZJ131011019,ZJ131011019ZJ131011019
20499,ZJ131011019,ZJ131011019ZJ131011019
20009,ZJ131011019,ZJ131011019ZJ131011019
20512,ZJ131011019,ZJ131011019ZJ131011019
20461,ZJ131011020,ZJ131011020ZJ131011020
20450,ZJ131011020,ZJ131011020ZJ131011020
20235,ZJ131011020,ZJ131011020ZJ131011020
19968,ZJ131011020,ZJ131011020ZJ131011020
20460,ZJ131011021,ZJ131011021ZJ131011021
20451,ZJ131011021,ZJ131011021ZJ131011021
20507,ZJ131011021,ZJ131011021ZJ131011021
20011,ZJ131011021,ZJ131011021ZJ131011021
20439,ZJ131011022,ZJ131011022ZJ131011022
21078,ZJ131011022,ZJ131011022ZJ131011022
20201,ZJ131011022,ZJ131011022ZJ131011022
20198,ZJ131011022,ZJ131011022ZJ131011022
20440,ZJ131011023,ZJ131011023ZJ131011023
20467,ZJ131011023,ZJ131011023ZJ131011023
20338,ZJ131011023,ZJ131011023ZJ131011023
20303,ZJ131011023,ZJ131011023ZJ131011023
20565,ZJ131011024,ZJ131011024ZJ131011024
20393,ZJ131011024,ZJ131011024ZJ131011024
20385,ZJ131011024,ZJ131011024ZJ131011024
20379,ZJ131011024,ZJ131011024ZJ131011024
20421,ZJ131011024,ZJ131011024ZJ131011024
20566,ZJ131011024,ZJ131011024ZJ131011024
20210,ZJ131011025,ZJ131011025ZJ131011025
20209,ZJ131011025,ZJ131011025ZJ131011025
20316,ZJ131011025,ZJ131011025ZJ131011025
20181,ZJ131011025,ZJ131011025ZJ131011025
20180,ZJ131011025,ZJ131011025ZJ131011025
20182,ZJ131011025,ZJ131011025ZJ131011025
20162,ZJ131011019,ZJ131011019ZJ131011019
20269,ZJ131011016,ZJ131011016ZJ131011016
20285,ZJ131011017,ZJ131011017ZJ131011017
20516,ZJ131011013,ZJ131011013ZJ131011013
3197,GD131011001,GD131011001GD131011001
3229,GD131011001,GD131011001GD131011001
3314,GD131011001,GD131011001GD131011001
3279,GD131011002,GD131011002GD131011002
3281,GD131011002,GD131011002GD131011002
3282,GD131011002,GD131011002GD131011002
3380,GD131011002,GD131011002GD131011002
3283,GD131011002,GD131011002GD131011002
3381,GD131011002,GD131011002GD131011002
3351,GD131011003,GD131011003GD131011003
3356,GD131011003,GD131011003GD131011003
2984,GD131011001,GD131011001GD131011001
3223,GD131011003,GD131011003GD131011003
2985,GD131011001,GD131011001GD131011001
3144,GD131011003,GD131011003GD131011003
3346,GD131011004,GD131011004GD131011004
3357,GD131011004,GD131011004GD131011004
3367,GD131011004,GD131011004GD131011004
3272,GD131011004,GD131011004GD131011004
3368,GD131011004,GD131011004GD131011004
3143,GD131011005,GD131011005GD131011005
3309,GD131011005,GD131011005GD131011005
3365,GD131011005,GD131011005GD131011005
3366,GD131011005,GD131011005GD131011005
3288,GD131011006,GD131011006GD131011006
23725,GD131011006,GD131011006GD131011006
23458,GD131011006,GD131011006GD131011006
3079,GD131011006,GD131011006GD131011006
3287,GD131011006,GD131011006GD131011006
