BDM编码,岗位编码,ExternalId
3721,GD131011021,3721GD131011021
3724,GD131011021,3724GD131011021
3752,GD131011022,3752GD131011022
3745,GD131011022,3745GD131011022
3748,GD131011022,3748GD131011022
2968,GD131011023,2968GD131011023
3714,GD131011023,3714GD131011023
28486,GD131011023,28486GD131011023
3449,GD131011024,3449GD131011024
3452,GD131011024,3452GD131011024
3016,GD131011024,3016GD131011024
3439,GD131011024,3439GD131011024
3040,GD131011024,3040GD131011024
3047,GD131011024,3047GD131011024
24015,GD131011024,24015GD131011024
3608,GD131011025,3608GD131011025
3621,GD131011025,3621GD131011025
3609,GD131011025,3609GD131011025
3607,GD131011025,3607GD131011025
3637,GD131011025,3637GD131011025
2410,FJ131011001,2410FJ131011001
2319,FJ131011001,2319FJ131011001
2480,FJ131011001,2480FJ131011001
2367,FJ131011001,2367FJ131011001
2416,FJ131011001,2416FJ131011001
21044,FJ131011001,21044FJ131011001
2428,FJ131011002,2428FJ131011002
2302,FJ131011002,2302FJ131011002
2277,FJ131011002,2277FJ131011002
2427,FJ131011002,2427FJ131011002
2507,FJ131011002,2507FJ131011002
2355,FJ131011002,2355FJ131011002
2321,FJ131011003,2321FJ131011003
21255,FJ131011003,21255FJ131011003
21033,FJ131011003,21033FJ131011003
2442,FJ131011003,2442FJ131011003
Temp008,FJ131011003,Temp008FJ131011003
21032,FJ131011004,21032FJ131011004
2470,FJ131011004,2470FJ131011004
2467,FJ131011004,2467FJ131011004
2553,FJ131011004,2553FJ131011004
2293,FJ131011005,2293FJ131011005
2344,FJ131011005,2344FJ131011005
2327,FJ131011005,2327FJ131011005
2323,FJ131011005,2323FJ131011005
2317,FJ131011006,2317FJ131011006
23565,FJ131011006,23565FJ131011006
21043,FJ131011006,21043FJ131011006
2287,FJ131011006,2287FJ131011006
2509,FJ131011007,2509FJ131011007
2540,FJ131011007,2540FJ131011007
2512,FJ131011007,2512FJ131011007
2456,FJ131011008,2456FJ131011008
2311,FJ131011008,2311FJ131011008
21041,FJ131011008,21041FJ131011008
21221,FJ131011008,21221FJ131011008
2404,FJ131011008,2404FJ131011008
21034,FJ131011009,21034FJ131011009
2315,FJ131011009,2315FJ131011009
2388,FJ131011009,2388FJ131011009
2390,FJ131011009,2390FJ131011009
2528,FJ131011010,2528FJ131011010
2529,FJ131011010,2529FJ131011010
2531,FJ131011010,2531FJ131011010
2530,FJ131011010,2530FJ131011010
21042,FJ131011011,21042FJ131011011
2538,FJ131011011,2538FJ131011011
2539,FJ131011011,2539FJ131011011
30118,FJ131011011,30118FJ131011011
8774,UB131011001,8774UB131011001
8698,UB131011001,8698UB131011001
8728,UB131011001,8728UB131011001
8494,UB131011001,8494UB131011001
8495,UB131011002,8495UB131011002
8584,UB131011002,8584UB131011002
8573,UB131011002,8573UB131011002
8854,UB131011002,8854UB131011002
8640,UB131011003,8640UB131011003
8641,UB131011003,8641UB131011003
8692,UB131011003,8692UB131011003
8773,UB131011003,8773UB131011003
8489,UB131011004,8489UB131011004
8469,UB131011004,8469UB131011004
8735,UB131011004,8735UB131011004
8487,UB131011004,8487UB131011004
8831,UB131011005,8831UB131011005
8822,UB131011005,8822UB131011005
31326,UB131011005,31326UB131011005
20979,UB131011005,20979UB131011005
8734,UB131011006,8734UB131011006
8730,UB131011006,8730UB131011006
8486,UB131011006,8486UB131011006
20980,UB131011006,20980UB131011006
8868,UB131011006,8868UB131011006
8880,UB131011006,8880UB131011006
11668,JX131011001,11668JX131011001
11609,JX131011001,11609JX131011001
11621,JX131011001,11621JX131011001
11708,JX131011001,11708JX131011001
21036,JX131011001,21036JX131011001
21035,JX131011001,21035JX131011001
11711,JX131011001,11711JX131011001
11616,JX131011001,11616JX131011001
9644,UN131011001,9644UN131011001
9053,UN131011001,9053UN131011001
9005,UN131011001,9005UN131011001
8997,UN131011002,8997UN131011002
9004,UN131011002,9004UN131011002
9642,UN131011002,9642UN131011002
27151,UN131011002,27151UN131011002
8989,UN131011003,8989UN131011003
9000,UN131011003,9000UN131011003
9032,UN131011003,9032UN131011003
9643,UN131011003,9643UN131011003
9133,UN131011004,9133UN131011004
9247,UN131011004,9247UN131011004
9423,UN131011004,9423UN131011004
9422,UN131011004,9422UN131011004
9236,UN131011005,9236UN131011005
9400,UN131011005,9400UN131011005
9618,UN131011005,9618UN131011005
9318,UN131011005,9318UN131011005
4128,GX131011001,4128GX131011001
4160,GX131011001,4160GX131011001
24209,GX131011001,24209GX131011001
4134,GX131011002,4134GX131011002
4107,GX131011002,4107GX131011002
4325,GX131011002,4325GX131011002
4155,GX131011002,4155GX131011002
4136,GX131011002,4136GX131011002
4334,GX131011001,4334GX131011001
4080,GX131011002,4080GX131011002
4195,GX131011003,4195GX131011003
4277,GX131011003,4277GX131011003
4282,GX131011003,4282GX131011003
4285,GX131011003,4285GX131011003
4272,GX131011003,4272GX131011003
4154,GX131011003,4154GX131011003
19473,YN131011001,19473YN131011001
19506,YN131011001,19506YN131011001
19869,YN131011001,19869YN131011001
21073,YN131011001,21073YN131011001
19804,YN131011001,19804YN131011001
19505,YN131011002,19505YN131011002
19864,YN131011002,19864YN131011002
19917,YN131011002,19917YN131011002
19503,YN131011002,19503YN131011002
5012,AN131011001,5012AN131011001
5033,AN131011001,5033AN131011001
5081,AN131011001,5081AN131011001
5083,AN131011001,5083AN131011001
5097,AN131011001,5097AN131011001
4374,GX131011001,4374GX131011001
4012,GX131011001,4012GX131011001
4445,GX131011001,4445GX131011001
4450,GX131011002,4450GX131011002
无,GX131011001,无GX131011001
4294,GX131011003,4294GX131011003
4286,GX131011003,4286GX131011003
19897,YN131011002,19897YN131011002
2457,FJ131011008,2457FJ131011008
8725,UB131011003,8725UB131011003
8752,UB131011005,8752UB131011005
8356,UB131011006,8356UB131011006
8690,UB131011005,8690UB131011005
8733,UB131011003,8733UB131011003
21184,GD131011016,21184GD131011016
31098,GD131011003,31098GD131011003
3588,GD131011003,3588GD131011003
3589,GD131011003,3589GD131011003
3318,GD131011001,3318GD131011001
无,GD131011006,无GD131011006
28205,GD131011006,28205GD131011006
,NX131011001,NX131011001
16253,AX131011003,16253AX131011003
15931,AX131011003,15931AX131011003
16723,SH131011016,16723SH131011016
,SH131011016,SH131011016
,,
